Etunimi,Lukumäärä
Jori,"1,463"
Adam,"1,450"
Touko,"1,432"
Mohamed,"1,429"
Taavi,"1,423"
Kevin,"1,414"
Taneli,"1,411"
Stig,"1,407"
Mats,"1,391"
Timi,"1,371"
Viktor,"1,370"
Eliel,"1,362"
Rolf,"1,362"
Verneri,"1,348"
Kenneth,"1,339"
Patrick,"1,326"
Jonathan,"1,324"
Simon,"1,309"
Noah,"1,300"
Sven,"1,281"
Michael,"1,264"
Jiri,"1,257"
Iivo,"1,240"
Jari-Pekka,"1,240"
Mico,"1,239"
Casper,"1,229"
Fredrik,"1,222"
Ralf,"1,219"
Björn,"1,206"
Rauli,"1,188"
Kurt,"1,176"
David,"1,166"
Tobias,"1,163"
Tenho,"1,162"
Kalervo,"1,161"
Eerik,"1,138"
Liam,"1,138"
Juhana,"1,132"
Per,"1,096"
Raine,"1,092"
Niki,"1,089"
Bo,"1,088"
Tuure,"1,086"
Artturi,"1,071"
Dan,"1,042"
Teo,"1,042"
Tiitus,"1,026"
Mathias,"1,025"
Magnus,"1,022"
Ahmed,"1,006"
Kosti,"1,001"
Elia,"1,000"
Sampsa,998
Ulf,995
Jan-Erik,978
Venni,977
Victor,971
Albert,967
Gabriel,965
Sasu,963
Joose,956
Aamos,933
Niila,928
Ukko,924
Jalo,920
Ville-Veikko,918
Visa,917
Jens,908
Jose,902
Erkka,901
Heino,892
Armas,882
Noa,879
Iikka,878
Christer,873
Filip,871
Jeremias,865
Rafael,862
Nikolas,861
Oula,860
Okko,854
Petrus,850
Antton,845
Allan,829
Paulus,822
Aleksanteri,821
Mio,809
Kjell,808
Taito,803
Iivari,798
Vincent,797
Niclas,796
Roger,795
Auvo,785
Marco,782
Theo,782
Krister,779
Amos,778
Valto,773
Ilmo,772
Jonatan,765
Jimmy,764
Waltteri,760
Mohammad,759
Nicolas,756
Jon,754
Jussi-Pekka,744
Helge,742
Vesa-Matti,740
Adrian,729
Alf,727
Altti,726
Bror,718
Neo,717
Andrei,713
Richard,710
Eevert,707
Eric,705
Kaarle,705
Ilja,689
Isto,682
Mark,674
Jare,669
Johnny,661
Isak,660
Roy,656
Rene,653
Mohammed,646
Turo,632
Göran,624
Aron,623
Tim,623
Jim,621
Ben,616
Dennis,614
Jonni,614
Omar,611
Nicholas,608
Atso,606
Elliot,605
Sam,599
Jarl,586
Kaius,585
Walter,585
Miki,582
Reko,582
Jalmari,581
Hermanni,579
Petja,579
Christoffer,575
Börje,572
Aleksandr,569
Nikolai,568
Elis,559
Jasu,555
Torsti,554
Frank,549
Aapeli,547
Eppu,545
Hemmo,545
Muhammad,540
Vladimir,538
Dani,537
Tor,535
Aksel,530
Eljas,529
Ibrahim,529
Pietari,520
Ivan,515
Aukusti,505
Juri,505
Ville-Pekka,503
Romeo,502
Håkan,494
Mirko,489
Alvin,488
Jaro,488
Vesa-Pekka,486
Valter,485
Amir,484
Veini,484
Arno,479
Pekko,476
Christopher,474
Sergei,472
Arthur,469
Ensio,468
Ruben,464
Bjarne,463
Arne,460
Raino,460
Antti-Jussi,459
Elmer,457
Valo,452
Mustafa,445
Pontus,440
Nikita,438
August,432
Gustav,431
Viljam,430
Alfred,427
Antto,427
Artur,423
Kari-Pekka,423
Pavel,422
Arvid,418
Igor,418
Åke,418
Kauno,416
Ronny,411
Nicklas,410
Maxim,409
Antti-Pekka,407
Abdirahman,406
Roman,406
Arsi,404
Bruno,403
Mattias,402
Joa,399
Einari,398
Guy,397
Into,397
Nestori,397
Jakob,395
Gunnar,392
Ohto,391
Kaspian,390
André,389
Vilppu,389
Albin,388
Denis,388
Samppa,387
Usko,387
Sten,384
Ahmad,382
Joosua,382
Mikke,379
Kent,378
Manuel,377
Edwin,375
Georg,375
Wilhelm,374
Ivar,373
Nino,368
James,367
Aleksei,365
Osku,365
Kristoffer,364
Turkka,362
Edward,361
Wille,356
Boris,354
Maximilian,354
Philip,354
Aake,352
Rune,351
Kuisma,345
Jonny,343
Van,343
Evert,342
Aatto,339
Iisak,338
Jacob,338
Tage,338
Alvari,337
Asmo,337
Pietu,337
Aleksander,336
Anttoni,332
Eeti,332
Marius,332
Miio,332
Mikhail,331
Jack,328
Maksim,328
Abdullahi,325
Dominic,325
Elian,324
Joshua,324
Karo,324
Vihtori,322
Julian,320
Einar,319
Lennart,319
Melvin,319
Karim,317
Mitja,316
Aslak,315
Jason,314
Milton,313
Pete,313
Ville-Petteri,313
Herman,309
Hussein,308
Klas,308
Kasimir,307
Matts,307
Herkko,305
Ian,303
Hassan,302
Iisakki,301
Aleksis,300
Konstantin,300
Yusuf,299
Edvard,298
Oleg,298
Uuno,298
Jean,297
Totti,297
Jake,295
Masi,290
Svante,290
Ville-Matti,289
Levi,286
Ole,286
Asser,285
Esa-Pekka,283
Jari-Matti,283
Hannu-Pekka,282
Erkko,281
Petro,281
Verner,281
Ted,280
Anthony,279
Pirkka,279
Roland,279
Toimi,279
Nikke,277
Joachim,274
Kirill,274
Jasse,272
Ove,272
Benny,271
Eddie,270
Ari-Matti,269
Anselmi,268
Hamza,268
Mertsi,268
Valde,268
Sergey,267
Jaani,266
Rikhard,266
Rony,265
Samir,265
Wiljami,263
Dimitri,260
Jörgen,258
Andrey,257
Leonardo,257
Soini,257
Wilmer,256
Bernt,255
Wäinö,255
Anas,253
Jone,253
Viggo,253
Juho-Pekka,252
Pessi,251
Simeon,250
Sune,249
Miiko,248
Peik,248
Renne,248
Jetro,247
Petter,247
Abdullah,246
Orvo,245
Timo-Pekka,245
Dmitri,242
Alec,241
Matthew,241
Antonio,238
Kuutti,238
Liinus,238
Nemo,238
Leonard,237
Per-Erik,237
Charles,236
Knut,234
Daniil,233
Carlos,232
Maunu,232
Jeremia,231
Berndt,230
Olof,230
Casimir,228
Dick,228
Immo,227
Ismail,227
Artem,225
Hasan,225
Kerkko,225
Ronnie,224
Torsten,224
Said,222
Alexandre,220
