Sukunimi,Yhteensä
Helminen,"2,899"
Ylitalo,"2,897"
Alatalo,"2,864"
Jansson,"2,860"
Tervo,"2,856"
Kivistö,"2,852"
Kanerva,"2,839"
Soininen,"2,833"
Kiviniemi,"2,822"
Puhakka,"2,816"
Rytkönen,"2,810"
Varis,"2,808"
Erkkilä,"2,803"
Väyrynen,"2,802"
Henriksson,"2,790"
Kurki,"2,782"
Rauhala,"2,782"
Taipale,"2,774"
Karvinen,"2,756"
Berg,"2,751"
Tarvainen,"2,741"
Nyberg,"2,728"
Pääkkönen,"2,724"
Pajunen,"2,722"
Ojanen,"2,709"
Peltoniemi,"2,709"
Puustinen,"2,695"
Laiho,"2,691"
Kilpeläinen,"2,690"
Mäntylä,"2,688"
Kankaanpää,"2,662"
Mattsson,"2,662"
Lassila,"2,658"
Tikka,"2,654"
Kuisma,"2,653"
Oinonen,"2,652"
Piirainen,"2,628"
Backman,"2,624"
Lehikoinen,"2,621"
Pirinen,"2,618"
Kivinen,"2,613"
Kärki,"2,610"
Korpi,"2,604"
Pohjola,"2,597"
Räty,"2,590"
Haapanen,"2,576"
Niiranen,"2,574"
Jaatinen,"2,567"
Kauppila,"2,565"
Parkkinen,"2,555"
Haverinen,"2,536"
Lipponen,"2,509"
Jauhiainen,"2,502"
Ylönen,"2,498"
Kaikkonen,"2,493"
Moisio,"2,490"
Valkonen,"2,476"
Haataja,"2,469"
Jäntti,"2,469"
Ruuskanen,"2,469"
Rossi,"2,466"
Vesterinen,"2,463"
Keinänen,"2,462"
Raatikainen,"2,462"
Holmberg,"2,447"
Venäläinen,"2,424"
Mononen,"2,421"
Sainio,"2,419"
Nikula,"2,405"
Syrjälä,"2,404"
Järvelä,"2,392"
Holmström,"2,389"
Anttonen,"2,378"
Lilja,"2,375"
Pekkala,"2,368"
Kovanen,"2,354"
Linna,"2,343"
Kämäräinen,"2,334"
Palomäki,"2,334"
Pehkonen,"2,327"
Tirkkonen,"2,319"
Ahokas,"2,316"
Latvala,"2,299"
Sallinen,"2,294"
Kuronen,"2,293"
Alanko,"2,292"
Männistö,"2,292"
Seppä,"2,281"
Karhunen,"2,277"
Vuorela,"2,272"
Huuskonen,"2,268"
Sirén,"2,268"
Valkama,"2,256"
Elo,"2,243"
Konttinen,"2,240"
Tiihonen,"2,239"
Muhonen,"2,238"
Oikarinen,"2,238"
Salomaa,"2,213"
Alanen,"2,210"
Eloranta,"2,208"
Riihimäki,"2,208"
Soini,"2,208"
Sjöblom,"2,205"
Sirviö,"2,202"
Snellman,"2,200"
Kiuru,"2,195"
Pekkarinen,"2,166"
Ryynänen,"2,166"
Simola,"2,166"
Keskitalo,"2,163"
Rönkkö,"2,162"
Forsman,"2,160"
Reinikainen,"2,156"
Lammi,"2,153"
Järvi,"2,136"
Kari,"2,132"
Kalliokoski,"2,129"
Marttinen,"2,122"
Ylinen,"2,120"
Airaksinen,"2,109"
Haapaniemi,"2,105"
Nevala,"2,102"
Aro,"2,093"
Simonen,"2,090"
Holappa,"2,084"
Uotila,"2,082"
Pöllänen,"2,080"
Ihalainen,"2,073"
Kauppi,"2,070"
Sutinen,"2,065"
Puranen,"2,063"
Grönroos,"2,054"
Tähtinen,"2,050"
Antikainen,"2,042"
Joensuu,"2,041"
Lankinen,"2,036"
Sihvonen,"2,033"
Aarnio,"2,015"
Lehti,"2,006"
Sundström,"2,003"
Toivola,"1,998"
Paavilainen,"1,992"
Kauhanen,"1,974"
Sivonen,"1,974"
Törmänen,"1,969"
Friman,"1,964"
Suvanto,"1,956"
Luoto,"1,955"
Hassinen,"1,953"
Kiiskinen,"1,953"
Virolainen,"1,951"
Westerlund,"1,947"
Koivuniemi,"1,943"
Sormunen,"1,941"
Luostarinen,"1,929"
Nordström,"1,929"
Eerola,"1,928"
Kotilainen,"1,915"
Ruuska,"1,904"
Ruohonen,"1,900"
Nenonen,"1,884"
Tuomisto,"1,884"
Kiiski,"1,879"
Sinisalo,"1,878"
Nygård,"1,872"
Björklund,"1,867"
Antila,"1,856"
Tervonen,"1,854"
Pietikäinen,"1,853"
Sinkkonen,"1,845"
Rajamäki,"1,841"
Koljonen,"1,840"
Sorsa,"1,835"
Huusko,"1,833"
Laamanen,"1,829"
Kuokkanen,"1,828"
Piiroinen,"1,822"
Pikkarainen,"1,822"
Siitonen,"1,822"
Tenhunen,"1,822"
Suomela,"1,820"
Kekkonen,"1,819"
Lämsä,"1,817"
Ukkonen,"1,816"
Ekman,"1,815"
Laitila,"1,812"
Lind,"1,811"
Forsström,"1,797"
Jylhä,"1,790"
Paajanen,"1,787"
Leppälä,"1,784"
Nyström,"1,783"
Nguyen,"1,780"
Suomi,"1,773"
Arola,"1,772"
Bergman,"1,771"
Alho,"1,767"
Neuvonen,"1,766"
Mäkitalo,"1,763"
Vuorio,"1,763"
Vepsäläinen,"1,753"
Lyytikäinen,"1,746"
Vanhanen,"1,746"
Junttila,"1,744"
