Etunimi,Lukumäärä
Karin,"3,405"
Rauha,"3,391"
Eira,"3,384"
Rauni,"3,350"
Iris,"3,343"
Senja,"3,303"
Saimi,"3,280"
Sylvi,"3,263"
Loviisa,"3,235"
Edith,"3,230"
Stella,"3,223"
Mirva,"3,174"
Natalia,"3,157"
Vanessa,"3,125"
Tytti,"3,116"
Anna-Maija,"3,093"
Inari,"3,070"
Astrid,"3,056"
Linnéa,"3,033"
Janika,"3,027"
Vilja,"3,016"
Ingeborg,"2,988"
Birgit,"2,974"
Eeva-Liisa,"2,974"
Oili,"2,970"
Selma,"2,970"
Monica,"2,929"
Fanny,"2,907"
Janette,"2,865"
Lydia,"2,853"
Annina,"2,840"
Ingrid,"2,828"
Isabel,"2,821"
Vappu,"2,792"
Vieno,"2,788"
Jutta,"2,783"
Soili,"2,763"
Fanni,"2,752"
Lilian,"2,729"
Sandra,"2,717"
Netta,"2,699"
Mimosa,"2,672"
Teresa,"2,671"
Hertta,"2,662"
Amelia,"2,658"
Frida,"2,657"
Kiia,"2,638"
Tea,"2,607"
Eliina,"2,595"
Aini,"2,594"
Anne-Mari,"2,578"
Janita,"2,572"
Jade,"2,567"
Melissa,"2,547"
Seela,"2,547"
Elsi,"2,542"
Piritta,"2,532"
Daniela,"2,527"
Vivian,"2,525"
Mona,"2,513"
Tyyne,"2,508"
Nora,"2,504"
Sanelma,"2,501"
Senni,"2,496"
Alli,"2,477"
Karita,"2,475"
Mirka,"2,475"
Anastasia,"2,457"
Louise,"2,402"
Regina,"2,394"
Mette,"2,373"
Lilli,"2,372"
Ulrika,"2,339"
Inga,"2,327"
Anelma,"2,306"
Elma,"2,288"
Anna-Maria,"2,283"
Virve,"2,273"
Sofie,"2,272"
Adalmiina,"2,255"
Iisa,"2,249"
Helka,"2,230"
Melina,"2,230"
Saila,"2,229"
Maila,"2,211"
Raakel,"2,196"
Wilma,"2,190"
Ulla-Maija,"2,172"
Aija,"2,169"
Vera,"2,165"
Elle,"2,146"
Lempi,"2,146"
Margaretha,"2,141"
Annele,"2,140"
Unelma,"2,134"
Gunilla,"2,133"
Aliina,"2,118"
Minja,"2,118"
Heta,"2,116"
Christine,"2,114"
Tilda,"2,109"
Carolina,"2,107"
Liina,"2,103"
Rita,"2,062"
Rebekka,"2,055"
Hanne,"2,047"
Erica,"2,041"
Maisa,"2,013"
Moona,"2,010"
Varpu,"2,002"
Lisa,"1,987"
Taija,"1,965"
Mariia,"1,961"
Eine,"1,943"
Selina,"1,932"
Tuire,"1,931"
Carola,"1,927"
Monika,"1,923"
Livia,"1,915"
Kaisla,"1,897"
Patricia,"1,897"
Carina,"1,895"
Karolina,"1,886"
Charlotte,"1,876"
Taika,"1,860"
Miina,"1,854"
Elin,"1,843"
Reeta,"1,831"
Viktoria,"1,824"
Janna,"1,819"
Mirella,"1,819"
Reija,"1,798"
Susan,"1,795"
Säde,"1,784"
Lena,"1,777"
Heljä,"1,775"
Miisa,"1,771"
Kiira,"1,764"
Henrietta,"1,753"
Eini,"1,727"
Saaga,"1,719"
Jasmine,"1,717"
Solveig,"1,706"
Riitta-Liisa,"1,702"
Ninni,"1,699"
Salli,"1,698"
Aura,"1,688"
Kia,"1,671"
Anna-Kaisa,"1,657"
Marleena,"1,657"
Saima,"1,654"
Enna,"1,631"
Luna,"1,628"
Eleonora,"1,627"
Sointu,"1,626"
Harriet,"1,619"
Helene,"1,617"
Alva,"1,615"
Helli,"1,609"
Erin,"1,608"
Diana,"1,606"
Titta,"1,602"
Jasmiina,"1,595"
Wilhelmina,"1,592"
Inger,"1,590"
Helga,"1,581"
Veronica,"1,580"
Kerstin,"1,578"
Pirita,"1,573"
Ava,"1,572"
Brita,"1,560"
Elvira,"1,548"
Evelina,"1,546"
Amelie,"1,543"
Hellin,"1,543"
