Etunimi,Lukumäärä
Olof,"3,111"
Harry,"3,095"
Arvid,"3,089"
Leif,"3,084"
Nils,"3,084"
Anselmi,"3,022"
Alfred,"3,015"
Nuutti,"3,003"
Tony,"2,974"
Jukka-Pekka,"2,972"
Mohamed,"2,972"
Göran,"2,916"
Perttu,"2,915"
Peetu,"2,905"
Santtu,"2,891"
Eevert,"2,842"
Jonas,"2,837"
Nestori,"2,824"
Richard,"2,800"
Veli-Pekka,"2,673"
Krister,"2,662"
Eljas,"2,611"
Jesper,"2,589"
Jonathan,"2,588"
Päiviö,"2,582"
Magnus,"2,580"
Jooa,"2,579"
Marcus,"2,572"
Mathias,"2,555"
Kaapo,"2,526"
Viljam,"2,525"
Panu,"2,518"
Patrick,"2,511"
Paavali,"2,499"
Eemi,"2,488"
Ukko,"2,485"
Klaus,"2,480"
Christer,"2,479"
Aarno,"2,474"
Waltteri,"2,465"
Felix,"2,455"
Aapeli,"2,437"
Justus,"2,436"
Luca,"2,426"
Untamo,"2,417"
Eerikki,"2,396"
Ossian,"2,343"
Lennart,"2,338"
Milo,"2,322"
Juha-Matti,"2,312"
Evert,"2,307"
Ahmed,"2,292"
Elmo,"2,264"
Kenneth,"2,261"
Olli-Pekka,"2,254"
Terho,"2,248"
Sven,"2,246"
Antton,"2,237"
Mattias,"2,234"
Adam,"2,205"
Kaleva,"2,202"
David,"2,171"
Tino,"2,161"
Urpo,"2,128"
Alarik,"2,122"
Tobias,"2,117"
Leon,"2,106"
Eric,"2,090"
Mats,"2,084"
Manu,"2,057"
Taavi,"2,049"
Reima,"2,031"
Teijo,"2,028"
Bengt,"2,022"
Lari,"1,998"
Anttoni,"1,984"
Einar,"1,978"
Aleksis,"1,953"
Stig,"1,930"
Tommy,"1,924"
Leonard,"1,921"
Rolf,"1,861"
Petter,"1,842"
Asser,"1,821"
Taavetti,"1,805"
Vertti,"1,805"
Valentin,"1,801"
Simon,"1,799"
Nikolas,"1,798"
Touko,"1,790"
Karri,"1,789"
Jalo,"1,764"
Per,"1,750"
Linus,"1,741"
Jonatan,"1,726"
Victor,"1,723"
Björn,"1,721"
Verner,"1,713"
Edward,"1,712"
Casper,"1,699"
Erno,"1,697"
Ari-Pekka,"1,692"
Elia,"1,683"
Håkan,"1,679"
Valter,"1,672"
Kurt,"1,670"
Roger,"1,661"
Kimi,"1,655"
Jerry,"1,651"
Aslak,"1,619"
Jori,"1,602"
Bo,"1,597"
Kevin,"1,595"
Kaarle,"1,591"
