Etunimi,Lukumäärä
Reija,"1,680"
Karin,"1,679"
Monica,"1,676"
Janna,"1,642"
Eerika,"1,641"
Miisa,"1,633"
Kiira,"1,625"
Vieno,"1,612"
Varpu,"1,610"
Inga,"1,609"
Riitta-Liisa,"1,584"
Vappu,"1,575"
Elma,"1,525"
Annikki,"1,521"
Ninni,"1,518"
Anna-Kaisa,"1,516"
Marketta,"1,507"
Eine,"1,495"
Inkeri,"1,482"
Thi,"1,478"
Tyyne,"1,460"
Aliisa,"1,458"
Melissa,"1,454"
Birgit,"1,449"
Titta,"1,441"
Kia,"1,434"
Heljä,"1,422"
Cecilia,"1,419"
Irmeli,"1,418"
Neela,"1,411"
Anna-Maria,"1,403"
Eini,"1,385"
Lena,"1,382"
Elle,"1,367"
Lilian,"1,367"
Salli,"1,362"
Marjaana,"1,360"
Christina,"1,356"
Saaga,"1,345"
Miina,"1,334"
Melina,"1,331"
Mikaela,"1,325"
Kerstin,"1,317"
Vivian,"1,307"
Kaisla,"1,306"
Raisa,"1,298"
Anitta,"1,289"
Enna,"1,283"
Kirsi-Marja,"1,273"
Tuulikki,"1,260"
Mimosa,"1,259"
Mirjam,"1,259"
Livia,"1,257"
Tia,"1,253"
Annukka,"1,243"
Alva,"1,238"
Elise,"1,234"
Marja-Terttu,"1,219"
Svetlana,"1,213"
Elin,"1,201"
Inna,"1,199"
Henni,"1,191"
Hanna-Mari,"1,189"
Ira,"1,183"
Daniela,"1,179"
Hanna-Leena,"1,177"
Edith,"1,161"
Taika,"1,160"
Siru,"1,159"
Luna,"1,148"
Helga,"1,136"
Diana,"1,133"
Erin,"1,122"
Lisa,"1,119"
Anna-Mari,"1,116"
Brita,"1,112"
Marianna,"1,107"
Reeta,"1,105"
Tuulia,"1,101"
Tina,"1,100"
Malin,"1,098"
Helli,"1,093"
Aura,"1,091"
Mea,"1,091"
Lina,"1,086"
Helinä,"1,075"
Victoria,"1,075"
Tuovi,"1,074"
Liina,"1,071"
Tatiana,"1,071"
Fiona,"1,069"
Inger,"1,069"
Katarina,"1,068"
Kira,"1,067"
Juuli,"1,063"
Marja-Riitta,"1,054"
Carola,"1,049"
Barbro,"1,043"
Siv,"1,042"
Adele,"1,039"
Sointu,"1,038"
Tinja,"1,034"
Stina,"1,033"
Saima,"1,031"
Pilvi,"1,020"
Malla,"1,014"
Marie,"1,008"
Lyydia,"1,002"
Amelia,997
Raila,997
Janni,992
Teresa,988
Karita,983
Aida,981
Sarah,976
Tessa,972
Annina,967
Lilia,967
Astrid,963
Anna-Leena,962
Säde,962
Bea,959
Anne-Maria,953
Gunilla,952
Sanna-Mari,951
Meea,949
Minka,949
Leea,943
Carina,942
Valma,942
Berit,939
Viena,936
Nanna,932
Aleksandra,930
Else,923
Marjo-Riitta,923
Solveig,919
Susan,919
Ekaterina,911
Pirkko-Liisa,899
Lempi,898
Ebba,893
Lila,890
Monika,888
Riia,882
Virva,881
Henriikka,878
Josefiina,878
Rebecca,876
Amalia,868
Milka,863
Ava,862
Charlotta,861
Isabel,861
Eliisa,859
Erica,854
